Term	Gene
GO:1902004	Q9BZC7
GO:1902993	Q9BZC7
GO:1904375	Q9BZC7
GO:1905598	Q9BZC7
GO:1905601	Q9BZC7
GO:2000008	Q9BZC7
GO:0004713	Q9V9J3
GO:0004715	Q9V9J3
GO:0005102	Q9V9J3
GO:0005524	Q9V9J3
GO:0005737	Q9V9J3
GO:0005829	Q9V9J3
GO:0005886	Q9V9J3
GO:0006468	Q9V9J3
GO:0007169	Q9V9J3
GO:0007391	Q9V9J3
GO:0007395	Q9V9J3
GO:0007411	Q9V9J3
GO:0007424	Q9V9J3
GO:0007435	Q9V9J3
GO:0007476	Q9V9J3
GO:0016477	Q9V9J3
GO:0018108	Q9V9J3
GO:0030154	Q9V9J3
GO:0031234	Q9V9J3
GO:0034332	Q9V9J3
GO:0036335	Q9V9J3
GO:0042059	Q9V9J3
GO:0042742	Q9V9J3
GO:0043277	Q9V9J3
GO:0045087	Q9V9J3
GO:0045742	Q9V9J3
GO:0045874	Q9V9J3
GO:0045886	Q9V9J3
GO:0046529	Q9V9J3
GO:0048167	Q9V9J3
GO:0048749	Q9V9J3
GO:0051017	Q9V9J3
GO:0070374	Q9V9J3
GO:0071588	Q9V9J3
GO:0090136	Q9V9J3
GO:0106016	Q9V9J3
GO:0005351	Q9NRA2
GO:0005765	Q9NRA2
GO:0005829	Q9NRA2
GO:0005886	Q9NRA2
GO:0006811	Q9NRA2
GO:0006820	Q9NRA2
GO:0006865	Q9NRA2
GO:0009617	Q9NRA2
GO:0015136	Q9NRA2
GO:0015538	Q9NRA2
GO:0015739	Q9NRA2
GO:0016020	Q9NRA2
GO:0016323	Q9NRA2
GO:0022857	Q9NRA2
GO:0030672	Q9NRA2
GO:0042880	Q9NRA2
GO:0004181	P04069
GO:0005576	P04069
GO:0006508	P04069
GO:0008270	P04069
GO:0000786	P84045
GO:0003677	P84045
GO:0005634	P84045
GO:0006334	P84045
GO:0030527	P84045
GO:0046982	P84045
GO:0004177	Q9UKU6
GO:0005737	Q9UKU6
GO:0005886	Q9UKU6
GO:0006508	Q9UKU6
GO:0007165	Q9UKU6
GO:0007267	Q9UKU6
GO:0008270	Q9UKU6
GO:0016920	Q9UKU6
GO:0042277	Q9UKU6
GO:0043171	Q9UKU6
GO:0070006	Q9UKU6
GO:0070062	Q9UKU6
GO:0000340	O77503
GO:0000932	O77503
GO:0005634	O77503
GO:0005844	O77503
GO:0005845	O77503
GO:0006355	O77503
GO:0016442	O77503
GO:0031047	O77503
GO:0031054	O77503
GO:0035197	O77503
GO:0035278	O77503
GO:0035279	O77503
GO:0045947	O77503
GO:0046872	O77503
GO:0060213	O77503
GO:0070551	O77503
GO:0070578	O77503
GO:1900153	O77503
GO:1990904	O77503
GO:0004465	Q5VYY2
GO:0005576	Q5VYY2
GO:0016042	Q5VYY2
GO:0070268	Q5VYY2
GO:0000139	P61210
GO:0003924	P61210
GO:0005525	P61210
GO:0015031	P61210
GO:0016192	P61210
GO:0048731	P61210
GO:0051649	P61210
GO:0001525	P21956
GO:0001786	P21956
GO:0002080	P21956
GO:0005178	P21956
GO:0005615	P21956
GO:0007155	P21956
GO:0007338	P21956
GO:0009897	P21956
GO:0043277	P21956
GO:0062023	P21956
GO:0005634	A6QPM3
GO:0006325	A6QPM3
GO:0016571	A6QPM3
GO:0046872	A6QPM3
GO:0140944	A6QPM3
GO:0000184	Q08473
GO:0000381	Q08473
GO:0000398	Q08473
GO:0000785	Q08473
GO:0003723	Q08473
GO:0003730	Q08473
GO:0005634	Q08473
GO:0005654	Q08473
GO:0005703	Q08473
GO:0005737	Q08473
GO:0006405	Q08473
GO:0006406	Q08473
GO:0007293	Q08473
GO:0007297	Q08473
GO:0007314	Q08473
GO:0008069	Q08473
GO:0008298	Q08473
GO:0009953	Q08473
GO:0010468	Q08473
GO:0016325	Q08473
GO:0017148	Q08473
GO:0019094	Q08473
GO:0030720	Q08473
GO:0033119	Q08473
GO:0035062	Q08473
GO:0045451	Q08473
GO:0048477	Q08473
GO:0071011	Q08473
GO:0071013	Q08473
GO:0005737	Q9VLU5
GO:0006915	Q9VLU5
GO:0010212	Q9VLU5
GO:0016055	Q9VLU5
GO:0016491	Q9VLU5
GO:0050829	Q9VLU5
GO:2000377	Q9VLU5
GO:0004222	P91953
GO:0006508	P91953
GO:0008270	P91953
GO:0031012	P91953
GO:0006869	Q09225
GO:0008289	Q09225
GO:0016020	Q09225
GO:0016747	Q09225
GO:0004867	A5PJK0
GO:0005615	A5PJK0
GO:0005634	A5PJK0
GO:0005737	A5PJK0
GO:0010951	A5PJK0
GO:0000281	E9Q5G3
GO:0003777	E9Q5G3
GO:0005524	E9Q5G3
GO:0005634	E9Q5G3
GO:0005654	E9Q5G3
GO:0005737	E9Q5G3
GO:0005813	E9Q5G3
GO:0005819	E9Q5G3
GO:0005871	E9Q5G3
GO:0005874	E9Q5G3
GO:0007018	E9Q5G3
GO:0008017	E9Q5G3
GO:0016887	E9Q5G3
GO:0030496	E9Q5G3
GO:0032467	E9Q5G3
GO:0045171	E9Q5G3
GO:0051256	E9Q5G3
GO:0072686	E9Q5G3
GO:0090543	E9Q5G3
GO:0097149	E9Q5G3
GO:0001656	Q3T0I2
GO:0001913	Q3T0I2
GO:0002764	Q3T0I2
GO:0004175	Q3T0I2
GO:0004177	Q3T0I2
GO:0004197	Q3T0I2
GO:0004252	Q3T0I2
GO:0005615	Q3T0I2
GO:0005764	Q3T0I2
GO:0005829	Q3T0I2
GO:0006508	Q3T0I2
GO:0006955	Q3T0I2
GO:0008234	Q3T0I2
GO:0008284	Q3T0I2
GO:0008656	Q3T0I2
GO:0010628	Q3T0I2
GO:0010634	Q3T0I2
GO:0010813	Q3T0I2
GO:0010815	Q3T0I2
GO:0010952	Q3T0I2
GO:0030108	Q3T0I2
GO:0030335	Q3T0I2
GO:0031638	Q3T0I2
GO:0031648	Q3T0I2
GO:0032526	Q3T0I2
GO:0033619	Q3T0I2
GO:0036464	Q3T0I2
GO:0043066	Q3T0I2
GO:0043129	Q3T0I2
GO:0045766	Q3T0I2
GO:0051603	Q3T0I2
GO:0060448	Q3T0I2
GO:0070324	Q3T0I2
GO:0070371	Q3T0I2
GO:0097067	Q3T0I2
GO:0097208	Q3T0I2
GO:2001235	Q3T0I2
GO:0001965	Q7TN88
GO:0005262	Q7TN88
GO:0005509	Q7TN88
GO:0016020	Q7TN88
GO:0030246	Q7TN88
GO:0050982	Q7TN88
GO:0000139	Q7Z7M9
GO:0004653	Q7Z7M9
GO:0005794	Q7Z7M9
GO:0006024	Q7Z7M9
GO:0006493	Q7Z7M9
GO:0016266	Q7Z7M9
GO:0030246	Q7Z7M9
GO:0046872	Q7Z7M9
GO:0005509	D3YXG0
GO:0005576	D3YXG0
GO:0005604	D3YXG0
GO:0005737	D3YXG0
GO:0005912	D3YXG0
GO:0005927	D3YXG0
GO:0005938	D3YXG0
GO:0007049	D3YXG0
GO:0007156	D3YXG0
GO:0007157	D3YXG0
GO:0009617	D3YXG0
GO:0030054	D3YXG0
GO:0032154	D3YXG0
GO:0051301	D3YXG0
GO:0062023	D3YXG0
GO:0071711	D3YXG0
GO:0090527	D3YXG0
GO:0001523	P07943
GO:0001758	P07943
GO:0001894	P07943
GO:0002070	P07943
GO:0003091	P07943
GO:0004032	P07943
GO:0005615	P07943
GO:0005829	P07943
GO:0005996	P07943
GO:0006061	P07943
GO:0009414	P07943
GO:0010033	P07943
GO:0018505	P07943
GO:0019853	P07943
GO:0031098	P07943
GO:0032838	P07943
GO:0033010	P07943
GO:0035809	P07943
GO:0036130	P07943
GO:0042415	P07943
GO:0042629	P07943
GO:0043066	P07943
GO:0043220	P07943
GO:0043795	P07943
GO:0044597	P07943
GO:0044598	P07943
GO:0046370	P07943
GO:0046427	P07943
GO:0047655	P07943
GO:0047939	P07943
GO:0047956	P07943
GO:0048471	P07943
GO:0048661	P07943
GO:0052650	P07943
GO:0060135	P07943
GO:0071475	P07943
GO:0072061	P07943
GO:0072205	P07943
GO:0097066	P07943
GO:0097238	P07943
