OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
NA	NA	NA	NA	NA	NA
OG0000245	fitOUM	0.429223991601475	42	3.84928495930989	0.00398406374504612
OG0000246	fitBM1	0.6290215649045	37	2.72940376275716	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000248	fitOU1	0.509945986749947	23	0.63497518280355	0.0159362549801055
NA	NA	NA	NA	NA	NA
OG0000250	fitOU1	0.569335660537054	42	4.25253142588309	0.0119521912350857
OG0000251	fitOU1	0.38724015621129	22	1.00296676767872	0.0119521912350857
OG0000252	fitBMS	0.772845255803692	20	1.73458572478927	0.00796812749006592
OG0000253	fitOUM	0.714050516342569	21	1.17472367406841	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000256	fitWhite	0.617337111816828	24	2.03626379501393	0.394422310756988
OG0000257	fitOUM	0.528280097315927	20	0.888109573753616	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000262	fitOU1	0.836747937409685	42	3.66969238847523	0.00398406374504612
OG0000263	fitWhite	0.726663416975947	21	0.355874703056223	0.589641434262959
OG0000264	fitBMS	0.669321579102363	36	3.05529820763585	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000267	fitWhite	0.533484241293918	42	4.10226563252852	0.5577689243028
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000272	fitOU1	0.774623471658935	36	2.96567093211204	0.00796812749006592
OG0000273	fitBMS	0.385687148947329	18	1.71278756763517	0.00398406374504612
OG0000274	fitOUM	0.459943311977093	22	3.16179717237534	0.00796812749006592
OG0000275	fitOU1	0.612536856709584	39	3.34368096879455	0.00398406374504612
OG0000276	fitOU1	0.70847085475858	34	3.4811377810711	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000278	fitOUMV	0.619674296344047	42	5.55377715721854	0.00398406374504612
OG0000279	fitBMS	0.487578106819835	32	2.99494113846435	0.00398406374504612
OG0000280	fitOU1	0.417701767036566	29	1.79711371211435	0.00796812749006592
OG0000281	fitBMS	0.814312041589266	30	1.13831733595458	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000283	fitOUMV	0.53324538318608	31	1.1880823662265	0.0318725099601848
OG0000284	fitOU1	0.655591214819061	40	3.36144447630389	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000286	fitOU1	0.571423487198122	37	2.8067367292877	0.00398406374504612
OG0000287	fitOU1	0.500793525123272	35	1.58485438159983	0.0836653386454423
OG0000288	fitOU1	0.551519909480254	32	2.19948256410673	0.027888446215165
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000291	fitWhite	0.501928602541135	40	2.58578241750513	0.378486055776909
OG0000292	fitOU1	0.577875252979158	25	1.01589067892767	0.00398406374504612
OG0000293	fitOUM	0.65021907420952	27	1.57958322005716	0.00398406374504612
OG0000294	fitOU1	0.74071358690691	25	2.26772695810123	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000296	fitWhite	0.756123202132664	26	-0.404002531430418	0.56573705179284
OG0000297	fitBM1	0.493713760681288	19	1.74044597004544	0.0318725099601848
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000300	fitBM1	0.622482503620658	17	0.926086910164056	0.00796812749006592
OG0000301	fitOU1	0.934127795230668	17	1.91618244625077	0.151394422310779
OG0000302	fitOUMA	0.996974803257993	21	0.401130422673764	0.0358565737052046
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000305	fitBMS	0.879648460742164	19	0.887994232096407	0.0159362549801055
OG0000306	fitWhite	0.704995708854011	30	1.72555654073539	0.545816733067741
OG0000307	fitOUM	0.499322258338326	35	3.61762440738332	0.00796812749006592
OG0000308	fitWhite	0.776727632854762	17	0.947694627342777	0.549800796812761
NA	NA	NA	NA	NA	NA
OG0000310	fitOUMV	0.424661475548911	33	3.12626214309424	0.00796812749006592
OG0000311	fitBMS	0.425315312324341	41	4.76191668557677	0.027888446215165
NA	NA	NA	NA	NA	NA
OG0000313	fitWhite	0.69015727794733	26	1.78916128350338	0.282868525896433
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000316	fitBMS	0.608297310332375	34	3.61769766582369	0.00398406374504612
OG0000317	fitBM1	0.61262087353444	19	1.64755496641606	0.00398406374504612
OG0000318	fitWhite	0.55482235214141	37	2.32475276237955	0.482071713147424
NA	NA	NA	NA	NA	NA
OG0000320	fitWhite	0.472389794885844	30	2.60164871712492	0.163346613545839
OG0000321	fitWhite	0.462297844057386	19	1.55553345845486	0.585657370517939
OG0000322	fitOUMV	0.440655939356022	36	3.1350404482927	0.00398406374504612
OG0000323	fitOUMVA	0.528640174897913	37	3.69370876925057	0.00398406374504612
OG0000324	fitOU1	0.391349718182613	34	4.53042384057354	0.00398406374504612
OG0000325	fitWhite	0.771768575810892	18	-0.202496419057538	0.56175298804782
OG0000326	fitOU1	0.322044483447277	33	3.14580233999089	0.00398406374504612
OG0000327	fitOU1	0.794451574178662	38	4.1379049633822	0.00398406374504612
OG0000328	fitBMS	0.781673458237326	35	4.28980637138312	0.00398406374504612
OG0000329	fitOU1	0.409774781106293	37	0.915366839321769	0.0438247011952443
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000332	fitWhite	0.591390032775355	15	0.290702479969629	0.56573705179284
OG0000333	fitBMS	0.848187501565497	42	5.07672423846285	0.00398406374504612
OG0000334	fitWhite	0.723700810306509	22	2.56962707276154	0.36254980079683
OG0000335	fitWhite	0.533474189545001	21	1.63524729653885	0.498007968127503
OG0000336	fitWhite	0.79581634145809	18	2.01549451130348	0.498007968127503
OG0000337	fitBM1	0.570392821947693	16	-0.495316932093451	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000339	fitWhite	0.470604233491145	18	1.07246966382794	0.56573705179284
OG0000340	fitBM1	0.593835566770901	32	2.09967184793084	0.00398406374504612
OG0000341	fitBM1	0.627178176926324	32	2.88371486084126	0.00398406374504612
OG0000342	fitOU1	0.388060355480835	26	2.94920778444562	0.00398406374504612
OG0000343	fitBMS	0.44389292960143	37	3.5683636474138	0.00398406374504612
OG0000344	fitBM1	0.383975597716918	16	0.926761421062135	0.0119521912350857
NA	NA	NA	NA	NA	NA
OG0000346	fitBMS	0.75620518181708	28	2.95484001731948	0.00796812749006592
NA	NA	NA	NA	NA	NA
OG0000348	fitOUM	0.572807166259474	26	3.21231276849162	0.0159362549801055
OG0000349	fitOUM	0.351154190793207	34	3.94026412084594	0.00796812749006592
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000352	fitOU1	0.6453224824258	29	2.57322353624933	0.00398406374504612
OG0000353	fitOU1	0.573426020440784	29	1.15231338767007	0.0159362549801055
OG0000354	fitBMS	0.948311674662075	28	1.65519166728748	0.00398406374504612
OG0000355	fitWhite	0.804975910532887	18	-0.484454677134165	0.657370517928296
NA	NA	NA	NA	NA	NA
OG0000357	fitOUM	0.518248787705713	39	7.01328835762778	0.00398406374504612
OG0000358	fitBMS	0.768803850985832	31	3.90391903382604	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000361	fitOU1	0.45370368269911	33	2.94632393205699	0.0159362549801055
OG0000362	fitBM1	0.539688451864756	18	0.645058074991456	0.0119521912350857
NA	NA	NA	NA	NA	NA
OG0000364	fitOUM	0.752734987489374	22	1.98812181234517	0.00398406374504612
OG0000365	fitWhite	0.755891682232432	31	2.23530058093985	0.426294820717147
OG0000366	fitOU1	0.682843864715654	25	2.31177677372902	0.00398406374504612
OG0000367	fitOU1	0.420181520268329	32	2.73336684357552	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000369	fitBMS	0.471325029582739	26	0.737629156586084	0.00398406374504612
OG0000370	fitOU1	0.667233432640504	40	3.30114357200955	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000372	fitWhite	0.73507294275799	34	2.06666750802427	0.498007968127503
NA	NA	NA	NA	NA	NA
OG0000374	fitOUMV	0.963916527936461	35	1.85188738545809	0.00398406374504612
OG0000375	fitBM1	0.671224050245712	26	2.11690080358304	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000380	fitOU1	0.441271732892574	21	1.09361924632742	0.0119521912350857
OG0000381	fitOUMV	0.597462763873475	34	4.02598176484149	0.0876494023904623
OG0000382	fitOU1	0.502840437250336	26	2.85731641641144	0.0119521912350857
NA	NA	NA	NA	NA	NA
OG0000384	fitWhite	0.673522131357859	19	0.627279630202516	0.56972111553786
OG0000385	fitBMS	0.702407322502504	15	0.17883411193579	0.00796812749006592
OG0000386	fitBMS	0.805726902139698	29	2.63065502833887	0.00398406374504612
OG0000387	fitWhite	0.731048003702421	20	1.35273727171965	0.470119521912365
OG0000388	fitWhite	0.800065523515764	17	1.05501878703832	0.513944223107582
OG0000389	fitBMS	0.807221275689532	34	2.45824456355918	0.00398406374504612
OG0000390	fitOU1	0.772499531702866	40	4.81345170323913	0.00398406374504612
OG0000391	fitOU1	0.514107980907875	39	3.24176207230847	0.00398406374504612
NA	NA	NA	NA	NA	NA
