OG	Model	mean_expr	species_nr	sigma2	alpha	ovuliparity.sigma2	oviparity.sigma2	hemotrophic_viviparous.sigma2	ovuliparity.alpha	oviparity.alpha	hemotrophic_viviparous.alpha	ovuliparity.theta	oviparity.theta	hemotrophic_viviparous.theta	ovuliparity.theta.se	oviparity.theta.se	hemotrophic_viviparous.theta.se	theta	theta.anc	theta.se	theta.anc.se
OG0002953	OUM	4.35624093389831	41	0.0201206713764613	0.0071600257712825	NA	NA	NA	NA	NA	NA	5.18670431744179	3.74167183404731	2.46634409171714	0.331338746517944	0.375367973110432	1.35688942127197	NA	NA	NA	NA
OG0002954	OU1	4.36260483366715	40	0.0242896345648607	0.00537313734630151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.24664860987051	NA	0.308913909181189	NA
OG0002956	OU1	3.81269842874571	39	0.0709527581551041	0.00712824919076276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.76088676502009	NA	0.45800721839457	NA
OG0002959	BMS	3.4852235228335	39	NA	NA	0.00397090013663498	0.00458773147912922	0.0181383470432536	NA	NA	NA	-8031261.09295174	8047856.10182624	-16595.0078715313	8385564.5703596	8402891.67713029	17327.1057237171	NA	3.58288194692824	NA	1.0271326745043
OG0002960	OU1	3.9297920429575	42	0.0123947619521181	0.0025473029488878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.70589760334072	NA	0.392139469871469	NA
OG0002961	OU1	2.68062914816052	38	0.0194900270685468	0.00362428484581525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.58326632740382	NA	0.391967421871941	NA
OG0002962	OU1	2.32530995342533	33	0.0499964127497959	0.00877403051047803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25451985868005	NA	0.376522938538633	NA
OG0002965	BMS	5.9978322518806	31	NA	NA	0.00950522759372619	0.00578648945754613	0.44228413965148	NA	NA	NA	-13817212.056119	13833039.0018722	-15826.9380250328	12793761.8090033	12808416.4421746	14654.6260154164	NA	5.86718456281894	NA	1.1177934909933
OG0002967	BMS	3.57947399389905	40	NA	NA	0.0254502004032421	0.00347478654072568	0.021872074918182	NA	NA	NA	-5589949.41490522	5618419.1627254	-28469.7465523381	14099786.6387036	14171597.1937063	71810.5518049215	NA	2.95890958051473	NA	2.14585290475493
OG0002972	BMS	4.69893915452433	41	NA	NA	0.00410313529161842	0.00467816947018129	0.0852236999554691	NA	NA	NA	-4113518.48532864	4117845.49312787	-4327.00713967749	8507107.53333937	8516056.1550053	8948.62030304485	NA	4.08829796660594	NA	1.06341913183538
OG0002973	BM1	1.08579774764869	36	0.012918851715459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1384427421845e-07	1.20088891159236	1.4535116429721e-07	1.5332400569977
OG0002974	BMS	6.29915948479304	35	NA	NA	0.00943316635597655	0.00159763733120188	0.109101521375928	NA	NA	NA	-19886304.1556727	19943262.0992703	-56957.9352947516	9770154.92179948	9798138.3986999	27983.4728212578	NA	5.9767385147738	NA	0.942158986517491
OG0002975	BMS	6.33798913398148	38	NA	NA	0.0158576480721307	0.00465294313036058	0.0615058760000092	NA	NA	NA	-8126591.59172846	8155394.65310467	-28803.0599044372	12967364.5701324	13013324.7729288	45960.2004481622	NA	6.67696335260413	NA	1.79415805999271
